Education;Income;Recency;Wines;Fruits;Meat;Fish;Sweets;Gold;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Age;Customer_for;Spent;Dependents;Partner;TotalAcceptedCmp;TotalPurchases
Undergraduate;79800.0;65;1060.0;21.0;530.0;32.0;0.0;224.0;1;5;11;5;3;1;0;1;1;0;0;1;59;26;1867.0;0;0;3;21
Graduate;61794.0;74;264.0;47.0;188.0;54.0;47.0;11.0;2;4;4;10;2;0;0;0;0;0;0;0;53;14;611.0;1;1;0;18
Undergraduate;53863.0;4;399.0;4.0;30.0;6.0;4.0;30.0;3;7;1;7;7;0;1;0;0;0;0;0;59;6;473.0;1;1;1;15
Undergraduate;24221.0;94;8.0;9.0;9.0;2.0;5.0;22.0;1;1;1;3;4;0;0;0;0;0;0;0;55;15;55.0;0;1;0;5
Graduate;39684.0;41;19.0;0.0;35.0;6.0;4.0;17.0;2;2;1;2;7;0;0;0;0;0;1;1;30;24;81.0;1;0;0;5
Graduate;92163.0;25;817.0;183.0;797.0;106.0;163.0;20.0;0;5;11;5;2;0;0;1;1;0;0;1;39;24;2086.0;0;1;2;21
Graduate;69882.0;94;292.0;127.0;635.0;132.0;127.0;165.0;1;3;7;9;1;0;0;0;0;0;0;0;49;14;1478.0;0;0;0;19
Undergraduate;33178.0;9;12.0;6.0;2.0;11.0;2.0;16.0;1;1;0;3;4;0;0;0;0;0;0;0;37;10;49.0;1;1;0;4
Graduate;59973.0;47;130.0;30.0;168.0;20.0;34.0;0.0;1;3;4;7;1;0;0;0;0;0;0;0;42;13;382.0;0;1;0;14
Graduate;17459.0;12;6.0;4.0;16.0;3.0;10.0;30.0;3;3;1;2;7;0;0;0;0;0;0;1;39;14;69.0;1;1;0;6
Undergraduate;23910.0;80;16.0;12.0;18.0;7.0;1.0;13.0;1;2;0;3;7;0;0;0;0;0;0;0;45;25;67.0;1;0;0;5
Graduate;42169.0;20;19.0;0.0;9.0;0.0;0.0;2.0;2;1;0;3;8;0;0;0;0;0;0;0;45;13;30.0;2;1;0;4
Undergraduate;26224.0;39;4.0;7.0;15.0;13.0;9.0;15.0;3;2;1;3;6;0;0;0;0;0;0;0;36;20;63.0;1;1;0;6
Undergraduate;31089.0;57;31.0;3.0;31.0;2.0;8.0;4.0;3;3;0;4;8;0;0;0;0;0;0;0;33;28;79.0;1;1;0;7
Undergraduate;30081.0;27;36.0;0.0;2.0;0.0;0.0;4.0;1;1;0;3;7;0;0;0;0;0;0;0;53;21;42.0;1;0;0;4
Undergraduate;62807.0;83;526.0;28.0;135.0;10.0;21.0;99.0;3;5;3;12;5;0;0;0;0;0;0;0;54;27;819.0;1;1;0;20
Undergraduate;72906.0;79;400.0;32.0;519.0;71.0;75.0;54.0;1;3;4;9;1;0;0;0;0;0;0;0;59;14;1151.0;0;0;0;16
Graduate;61467.0;69;410.0;16.0;114.0;0.0;5.0;49.0;3;5;2;10;5;0;0;0;0;0;0;0;66;27;594.0;2;1;0;17
Graduate;49618.0;77;80.0;3.0;26.0;4.0;2.0;14.0;4;3;1;3;7;0;0;0;0;0;0;0;48;22;129.0;2;1;0;7
Graduate;21888.0;15;88.0;10.0;46.0;2.0;3.0;64.0;4;5;1;2;10;0;0;0;0;0;0;1;28;23;213.0;1;0;0;8
Undergraduate;42429.0;99;55.0;0.0;6.0;2.0;0.0;4.0;2;1;1;3;5;0;0;0;0;0;0;0;41;1;67.0;1;0;0;5
Undergraduate;26150.0;61;5.0;1.0;13.0;3.0;5.0;1.0;1;1;0;3;7;0;0;0;0;0;0;0;58;13;28.0;3;0;0;4
Basic;30801.0;23;8.0;4.0;5.0;15.0;2.0;11.0;2;1;0;3;7;0;0;0;0;0;0;0;39;25;45.0;1;1;0;4
Undergraduate;81168.0;84;410.0;0.0;592.0;147.0;22.0;22.0;1;6;4;7;3;0;0;0;1;0;0;0;49;5;1193.0;0;1;1;17
Graduate;26877.0;74;101.0;13.0;76.0;20.0;18.0;40.0;2;3;1;6;6;0;0;0;0;0;0;0;45;15;268.0;0;0;0;10
Graduate;45006.0;90;162.0;25.0;53.0;16.0;0.0;10.0;1;3;1;7;3;0;0;0;0;0;0;0;70;16;266.0;0;0;0;11
Basic;18978.0;41;2.0;8.0;1.0;4.0;7.0;15.0;1;1;0;3;8;0;0;0;0;0;0;0;41;25;37.0;1;1;0;4
Undergraduate;22574.0;28;25.0;0.0;8.0;2.0;0.0;2.0;2;2;0;3;7;0;0;0;0;0;0;0;47;13;37.0;3;1;0;5
Graduate;48240.0;73;389.0;91.0;248.0;64.0;49.0;41.0;3;6;3;13;5;0;0;0;0;0;0;1;45;27;882.0;0;0;0;22
Undergraduate;45837.0;88;215.0;13.0;87.0;17.0;17.0;24.0;5;6;2;5;7;0;0;0;0;0;0;0;40;16;373.0;2;1;0;13
Graduate;35791.0;94;27.0;0.0;5.0;0.0;0.0;3.0;2;1;0;3;8;0;0;0;0;0;0;0;49;18;35.0;3;0;0;4
Graduate;162397.0;31;85.0;1.0;16.0;2.0;1.0;2.0;0;0;0;1;1;0;0;0;0;0;0;0;38;21;107.0;2;1;0;1
Undergraduate;54162.0;31;5.0;6.0;10.0;6.0;5.0;10.0;1;1;0;3;4;0;0;0;0;0;0;0;36;20;42.0;2;0;0;4
Graduate;30522.0;6;179.0;8.0;83.0;19.0;11.0;26.0;5;1;2;9;2;0;0;0;0;0;0;0;54;28;326.0;1;1;0;12
Graduate;54456.0;23;352.0;0.0;27.0;10.0;0.0;15.0;3;6;1;7;6;0;0;0;0;0;0;0;53;13;404.0;1;1;0;14
Undergraduate;31632.0;92;17.0;8.0;12.0;11.0;15.0;32.0;1;2;1;2;7;0;0;0;0;0;0;0;43;17;95.0;0;0;0;5
Undergraduate;72298.0;52;625.0;35.0;169.0;58.0;17.0;35.0;1;4;3;6;1;0;1;1;0;0;0;0;65;2;939.0;0;0;2;13
Undergraduate;36975.0;50;10.0;6.0;11.0;0.0;4.0;2.0;1;1;0;3;7;0;0;0;0;0;0;0;36;11;33.0;1;0;0;4
Undergraduate;72635.0;54;390.0;22.0;323.0;104.0;35.0;107.0;1;6;8;6;3;0;0;0;1;0;0;0;59;21;981.0;0;1;1;20
Undergraduate;13624.0;93;10.0;2.0;15.0;2.0;1.0;6.0;2;2;0;3;6;0;0;0;0;0;0;0;38;22;36.0;1;1;0;5
Undergraduate;84196.0;56;215.0;63.0;507.0;231.0;31.0;190.0;1;8;4;7;3;0;0;0;0;0;0;0;39;21;1237.0;1;0;0;19
Undergraduate;70971.0;28;1001.0;17.0;572.0;93.0;125.0;17.0;7;11;11;5;7;0;0;0;0;0;0;1;54;26;1825.0;1;1;0;27
Graduate;34487.0;94;19.0;18.0;33.0;24.0;1.0;8.0;3;3;0;3;9;0;0;0;0;0;0;0;37;30;103.0;2;0;0;6
Undergraduate;28769.0;76;41.0;5.0;129.0;10.0;3.0;3.0;3;4;1;4;9;0;0;0;0;0;0;0;37;23;191.0;1;0;0;9
Graduate;69084.0;43;1181.0;107.0;199.0;39.0;30.0;30.0;2;7;3;13;8;0;0;0;0;0;0;0;44;12;1586.0;1;1;0;23
Graduate;65488.0;46;603.0;45.0;207.0;36.0;18.0;54.0;1;3;4;6;1;0;0;0;0;0;0;0;56;5;963.0;0;1;0;13
Undergraduate;62466.0;13;129.0;129.0;259.0;168.0;121.0;83.0;5;6;3;12;4;0;0;0;0;0;0;0;44;10;889.0;1;1;0;21
Undergraduate;32218.0;27;10.0;24.0;15.0;13.0;1.0;30.0;1;2;1;3;7;1;0;0;0;0;0;1;54;9;93.0;0;0;1;6
Undergraduate;83917.0;12;514.0;22.0;732.0;42.0;198.0;79.0;1;6;7;7;3;0;0;0;0;0;0;1;41;19;1587.0;0;0;0;20
Undergraduate;46102.0;3;14.0;0.0;1.0;0.0;0.0;1.0;1;1;0;2;7;0;0;0;0;0;0;0;52;2;16.0;3;0;0;3
Undergraduate;84574.0;72;387.0;20.0;713.0;38.0;54.0;163.0;1;9;11;11;5;0;0;0;0;0;0;0;62;20;1375.0;0;0;0;31
Undergraduate;56181.0;6;121.0;103.0;69.0;8.0;44.0;48.0;1;4;2;7;4;0;0;0;0;0;0;0;52;16;393.0;1;1;0;13
Graduate;63120.0;53;965.0;69.0;279.0;54.0;41.0;69.0;5;8;4;9;7;0;0;0;0;0;0;1;64;26;1477.0;1;0;0;21
Undergraduate;73691.0;58;707.0;21.0;250.0;85.0;43.0;73.0;2;6;2;8;2;1;0;0;0;0;0;0;43;18;1179.0;1;1;1;16
Undergraduate;63381.0;78;571.0;50.0;142.0;33.0;50.0;159.0;4;4;5;13;2;0;0;0;0;0;0;0;54;31;1005.0;1;1;0;22
Graduate;76140.0;57;586.0;66.0;653.0;17.0;0.0;26.0;1;5;9;6;2;0;0;0;0;0;0;0;66;6;1348.0;0;1;0;20
Graduate;62859.0;37;1063.0;89.0;102.0;16.0;12.0;25.0;4;9;4;6;6;0;0;0;0;0;0;0;55;23;1307.0;1;0;0;19
Undergraduate;45906.0;20;305.0;3.0;27.0;4.0;3.0;144.0;2;5;4;4;5;1;0;0;0;0;0;0;50;17;486.0;1;0;1;13
Graduate;77632.0;73;1200.0;105.0;758.0;0.0;42.0;147.0;1;4;2;6;2;0;1;1;0;0;0;1;67;14;2252.0;0;1;2;12
Graduate;46463.0;56;163.0;2.0;40.0;8.0;11.0;11.0;7;3;1;6;6;0;0;0;0;0;0;0;43;15;235.0;2;1;0;10
Undergraduate;105471.0;36;1009.0;181.0;104.0;202.0;21.0;207.0;0;9;8;13;3;0;0;1;1;0;0;1;44;22;1724.0;0;1;2;30
Graduate;55282.0;9;125.0;6.0;73.0;8.0;4.0;19.0;1;3;1;6;4;0;0;0;0;0;0;0;44;11;235.0;1;0;0;10
Graduate;78710.0;42;721.0;0.0;152.0;119.0;50.0;50.0;3;7;6;12;4;0;0;0;0;0;0;0;37;6;1092.0;1;1;0;25
Undergraduate;66886.0;28;315.0;4.0;62.0;41.0;31.0;146.0;2;7;1;7;5;0;0;0;0;0;0;0;56;14;599.0;1;1;0;15
Graduate;98777.0;23;1000.0;19.0;711.0;125.0;115.0;38.0;0;4;6;9;1;0;1;0;0;0;0;0;54;9;2008.0;0;0;1;19
Undergraduate;29103.0;38;16.0;0.0;17.0;6.0;3.0;6.0;2;1;0;3;9;0;0;0;0;0;0;0;29;27;48.0;1;1;0;4
Undergraduate;67445.0;63;757.0;80.0;217.0;29.0;80.0;11.0;5;9;6;12;6;0;0;0;0;0;0;0;40;24;1174.0;1;1;0;27
Graduate;50616.0;71;30.0;2.0;25.0;0.0;1.0;9.0;1;1;1;4;2;0;0;0;0;0;0;0;64;7;67.0;1;1;0;6
Undergraduate;49431.0;9;219.0;3.0;100.0;26.0;0.0;17.0;2;7;1;5;8;0;0;0;0;0;0;0;59;33;365.0;1;0;0;13
Undergraduate;153924.0;81;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;39;5;6.0;0;0;0;0
Undergraduate;61278.0;87;111.0;3.0;28.0;2.0;6.0;15.0;2;3;1;4;6;0;0;0;0;0;0;0;61;8;165.0;1;1;0;8
Undergraduate;26490.0;92;45.0;47.0;52.0;21.0;20.0;25.0;2;3;1;5;6;0;0;0;0;0;0;0;56;26;210.0;0;1;0;9
Graduate;73059.0;36;410.0;112.0;420.0;0.0;82.0;71.0;1;9;3;13;4;0;0;0;0;0;0;0;67;15;1095.0;1;1;0;25
Graduate;46734.0;86;100.0;1.0;39.0;6.0;1.0;76.0;4;3;2;3;6;1;0;0;0;0;0;0;48;13;223.0;3;0;1;8
Undergraduate;56253.0;83;509.0;0.0;65.0;7.0;11.0;5.0;4;7;2;9;6;0;0;0;0;0;0;0;51;29;597.0;1;1;0;18
Undergraduate;19986.0;74;3.0;6.0;5.0;0.0;2.0;6.0;1;0;0;3;7;0;0;0;0;0;0;0;29;12;22.0;1;1;0;3
Undergraduate;58330.0;87;445.0;53.0;213.0;104.0;98.0;151.0;1;6;4;13;4;0;0;0;0;0;0;0;39;11;1064.0;1;0;0;23
Basic;25965.0;29;2.0;2.0;11.0;41.0;7.0;11.0;1;2;0;3;8;0;0;0;0;0;0;0;34;29;74.0;0;1;0;5
Graduate;14661.0;88;4.0;1.0;11.0;6.0;2.0;2.0;1;1;0;3;6;0;0;0;0;0;0;0;58;23;26.0;0;1;0;4
Undergraduate;18690.0;77;6.0;1.0;7.0;23.0;4.0;19.0;1;1;1;2;8;0;0;0;0;0;0;0;55;23;60.0;0;1;0;4
Graduate;45068.0;25;14.0;0.0;3.0;0.0;0.0;3.0;1;1;0;2;7;0;0;0;0;0;0;0;40;18;20.0;1;1;0;3
Basic;21063.0;34;1.0;10.0;11.0;19.0;3.0;15.0;2;2;0;3;6;0;0;0;0;0;0;0;27;14;59.0;1;0;0;5
Graduate;29187.0;43;26.0;0.0;6.0;0.0;0.0;2.0;1;1;0;3;8;0;0;0;0;0;0;0;46;15;34.0;1;1;0;4
Undergraduate;54690.0;76;111.0;16.0;37.0;7.0;9.0;18.0;3;3;1;5;3;0;0;0;0;0;0;0;43;17;198.0;2;1;0;9
Graduate;59304.0;81;418.0;61.0;428.0;80.0;51.0;10.0;3;7;8;10;5;0;0;0;0;0;0;0;50;16;1048.0;1;1;0;25
Graduate;59247.0;87;327.0;9.0;122.0;19.0;14.0;83.0;5;5;2;9;6;0;0;0;0;0;0;0;52;16;574.0;2;0;0;16
Undergraduate;66731.0;33;371.0;159.0;194.0;58.0;106.0;141.0;4;4;3;6;3;0;0;0;0;0;0;0;44;24;1029.0;1;0;0;13
Undergraduate;77353.0;38;275.0;59.0;107.0;69.0;101.0;59.0;2;6;4;8;4;0;0;0;0;0;0;0;34;11;670.0;1;1;0;18
Graduate;52614.0;63;789.0;0.0;142.0;12.0;9.0;38.0;2;2;4;8;8;0;0;0;0;0;0;0;39;35;990.0;1;0;0;14
Undergraduate;26751.0;26;1.0;1.0;5.0;0.0;3.0;1.0;1;1;0;2;8;0;0;0;0;0;0;0;40;6;11.0;2;1;0;3
Graduate;81300.0;17;1004.0;12.0;145.0;32.0;12.0;36.0;3;10;3;5;5;0;0;0;1;0;0;1;51;25;1241.0;1;1;1;18
Undergraduate;70337.0;75;187.0;81.0;149.0;25.0;43.0;91.0;1;2;2;12;1;0;0;0;0;0;0;0;35;10;576.0;0;0;0;16
Undergraduate;36145.0;13;56.0;4.0;76.0;17.0;1.0;18.0;4;4;1;3;9;1;0;0;0;0;0;1;29;17;172.0;1;1;1;8
Graduate;65295.0;19;365.0;32.0;117.0;34.0;110.0;6.0;1;3;3;13;2;0;0;0;0;0;0;0;34;11;664.0;0;0;0;19
Undergraduate;68118.0;51;595.0;23.0;123.0;10.0;23.0;154.0;2;8;9;4;6;0;0;0;0;0;0;0;51;13;928.0;1;0;0;21
Undergraduate;68743.0;81;1132.0;134.0;384.0;175.0;134.0;115.0;1;11;5;13;7;0;0;0;0;0;0;0;47;27;2074.0;0;0;0;29
Undergraduate;41039.0;32;34.0;11.0;137.0;179.0;61.0;45.0;1;8;1;5;8;0;0;0;0;0;0;0;32;16;467.0;0;1;0;14
Undergraduate;38946.0;84;116.0;6.0;82.0;6.0;6.0;41.0;2;3;1;6;5;0;0;0;0;0;0;0;59;13;257.0;1;1;0;10
Undergraduate;65777.0;87;565.0;32.0;435.0;28.0;32.0;54.0;1;2;8;6;1;0;0;0;0;0;0;0;47;11;1146.0;0;1;0;16
Graduate;66476.0;99;372.0;18.0;126.0;47.0;48.0;78.0;2;5;2;11;4;0;0;0;0;0;0;0;38;17;689.0;1;0;0;18
Graduate;86857.0;96;899.0;102.0;838.0;133.0;102.0;40.0;1;5;6;10;2;0;0;0;0;0;0;1;42;24;2114.0;0;0;0;21
Graduate;160803.0;21;55.0;16.0;1622.0;17.0;3.0;4.0;15;0;28;1;0;0;0;0;0;0;0;0;32;32;1717.0;0;1;0;29
Graduate;77845.0;40;760.0;40.0;480.0;0.0;40.0;26.0;1;3;5;12;1;0;0;1;1;0;0;0;25;6;1346.0;0;1;2;20
Graduate;69476.0;3;260.0;86.0;559.0;63.0;9.0;67.0;1;4;6;4;2;0;0;0;0;0;0;0;45;14;1044.0;0;1;0;14
Graduate;50611.0;98;459.0;0.0;24.0;6.0;0.0;4.0;6;4;5;7;6;0;1;0;0;0;0;1;54;32;493.0;1;0;1;16
Undergraduate;61209.0;73;466.0;0.0;224.0;119.0;49.0;99.0;1;5;3;4;2;0;0;0;0;0;0;0;44;15;957.0;0;0;0;12
Graduate;42315.0;90;67.0;15.0;80.0;17.0;11.0;80.0;3;1;4;4;3;0;0;0;0;0;0;0;56;12;270.0;1;1;0;9
Basic;13084.0;29;2.0;0.0;7.0;3.0;7.0;10.0;1;1;0;3;6;0;0;0;0;0;0;0;62;22;29.0;0;1;0;4
Graduate;47570.0;3;67.0;1.0;20.0;0.0;2.0;31.0;3;2;2;2;7;0;0;0;0;0;0;1;65;18;121.0;2;0;0;6
Graduate;61923.0;94;92.0;4.0;18.0;3.0;3.0;6.0;1;2;1;4;3;0;0;0;0;0;0;0;53;16;126.0;2;1;0;7
Undergraduate;34824.0;65;4.0;2.0;11.0;2.0;0.0;4.0;1;1;0;2;6;0;0;0;0;0;0;0;19;8;23.0;0;0;0;3
Graduate;26518.0;33;20.0;1.0;28.0;3.0;3.0;2.0;3;2;0;3;8;0;0;0;0;0;0;1;65;16;57.0;2;0;0;5
Undergraduate;45938.0;46;273.0;11.0;178.0;62.0;83.0;29.0;2;8;4;6;6;0;0;0;0;0;0;0;53;21;636.0;0;0;0;18
Undergraduate;78468.0;29;434.0;22.0;388.0;104.0;22.0;34.0;1;10;7;10;4;0;0;0;1;0;0;0;54;3;1004.0;0;1;1;27
Undergraduate;78901.0;99;321.0;11.0;309.0;33.0;26.0;34.0;3;9;3;5;4;0;0;0;0;0;0;0;41;14;734.0;1;0;0;17
Undergraduate;71427.0;26;212.0;123.0;177.0;15.0;64.0;23.0;2;8;2;8;4;0;0;0;0;0;0;0;36;0;614.0;2;1;0;18
Undergraduate;71022.0;30;909.0;12.0;278.0;0.0;12.0;242.0;3;5;2;11;8;1;0;0;0;0;0;0;36;1;1453.0;1;0;1;18
Graduate;90247.0;27;1184.0;32.0;352.0;21.0;16.0;16.0;1;3;4;7;1;0;1;1;1;0;0;1;26;7;1621.0;0;0;3;14
Graduate;41335.0;24;112.0;19.0;21.0;16.0;14.0;5.0;3;4;1;4;7;0;0;0;0;0;0;0;46;11;187.0;1;0;0;9
Undergraduate;71952.0;93;656.0;80.0;455.0;52.0;107.0;93.0;2;8;4;8;4;1;0;1;0;0;0;0;28;14;1443.0;1;1;2;20
Graduate;35682.0;34;23.0;0.0;8.0;6.0;2.0;18.0;1;1;1;3;2;0;0;0;0;0;0;0;44;5;57.0;1;0;0;5
Undergraduate;43185.0;88;537.0;6.0;42.0;16.0;6.0;30.0;2;9;3;6;8;0;0;0;0;0;0;0;63;14;637.0;1;0;0;18
Graduate;66375.0;96;712.0;0.0;45.0;0.0;0.0;191.0;3;2;4;5;7;1;0;0;0;0;0;0;66;12;948.0;1;1;1;11
Graduate;35178.0;10;23.0;1.0;13.0;2.0;2.0;18.0;1;1;1;2;7;1;0;0;0;0;0;1;43;14;59.0;1;1;1;4
Undergraduate;25252.0;26;1.0;3.0;4.0;2.0;2.0;6.0;1;1;0;2;8;0;0;0;0;0;0;0;28;12;18.0;1;1;0;3
Graduate;55250.0;49;664.0;58.0;83.0;32.0;0.0;66.0;4;7;5;10;5;0;0;0;0;0;0;0;49;25;903.0;1;0;0;22
Undergraduate;33249.0;11;6.0;10.0;21.0;19.0;14.0;42.0;2;2;1;3;6;0;0;0;0;0;0;0;39;21;112.0;1;0;0;6
Undergraduate;58398.0;44;299.0;5.0;201.0;21.0;21.0;49.0;3;5;4;8;4;0;0;0;0;0;0;0;61;19;596.0;0;1;0;17
Undergraduate;50272.0;75;99.0;13.0;66.0;43.0;8.0;4.0;3;4;1;5;7;0;0;0;0;0;0;0;32;17;233.0;1;1;0;10
Graduate;76618.0;64;749.0;40.0;294.0;121.0;160.0;147.0;1;3;2;5;1;0;0;0;0;0;0;0;39;29;1511.0;0;1;0;10
Undergraduate;87305.0;19;345.0;25.0;501.0;63.0;138.0;80.0;1;5;3;8;2;0;0;1;0;0;0;1;54;26;1152.0;0;0;1;16
Undergraduate;25851.0;45;9.0;4.0;18.0;7.0;5.0;5.0;2;2;0;3;7;0;0;0;0;0;0;0;36;13;48.0;1;1;0;5
Undergraduate;58710.0;77;440.0;81.0;368.0;0.0;122.0;174.0;6;11;5;9;6;0;0;0;0;0;0;0;44;20;1185.0;1;0;0;25
Undergraduate;45160.0;9;8.0;2.0;5.0;3.0;0.0;3.0;1;1;0;2;7;0;0;0;0;0;0;0;56;8;21.0;2;0;0;3
Graduate;74806.0;1;670.0;9.0;249.0;0.0;28.0;9.0;2;5;4;5;4;0;0;0;0;0;0;0;49;23;965.0;1;1;0;14
Undergraduate;59111.0;90;524.0;0.0;134.0;28.0;28.0;155.0;1;11;1;8;7;0;0;0;0;0;0;0;60;22;869.0;0;1;0;20
Graduate;18988.0;43;6.0;0.0;6.0;2.0;1.0;1.0;2;1;0;3;7;0;0;0;0;0;0;0;30;6;16.0;1;1;0;4
Undergraduate;72190.0;79;597.0;166.0;597.0;172.0;166.0;249.0;1;5;6;4;3;0;0;0;0;0;0;0;49;22;1947.0;0;1;0;15
Undergraduate;7500.0;19;7.0;0.0;12.0;13.0;7.0;32.0;5;4;1;2;9;1;0;0;0;0;0;1;38;35;71.0;1;1;1;7
Undergraduate;44794.0;99;54.0;0.0;7.0;0.0;0.0;4.0;1;2;0;3;6;0;0;0;0;0;0;0;48;4;65.0;1;1;0;5
Undergraduate;80395.0;62;445.0;25.0;706.0;80.0;76.0;48.0;1;6;5;12;2;0;0;0;1;0;0;0;59;12;1380.0;0;1;1;23
Graduate;75012.0;41;294.0;142.0;218.0;164.0;58.0;151.0;1;3;8;11;1;0;0;0;0;0;0;0;38;10;1027.0;0;0;0;22
Graduate;56962.0;60;292.0;3.0;77.0;10.0;3.0;26.0;7;6;3;5;7;0;0;0;0;0;0;0;49;13;411.0;3;1;0;14
Undergraduate;89891.0;17;412.0;22.0;132.0;59.0;28.0;183.0;1;11;6;8;4;0;0;1;0;0;0;0;23;20;836.0;0;1;1;25
Graduate;35946.0;24;8.0;0.0;3.0;0.0;0.0;0.0;1;0;0;3;5;0;0;0;0;0;0;0;65;14;11.0;2;0;0;3
Graduate;53593.0;60;349.0;4.0;78.0;6.0;0.0;43.0;8;7;2;6;8;0;0;0;0;0;0;0;61;29;480.0;2;1;0;15
Undergraduate;66373.0;57;328.0;9.0;124.0;12.0;24.0;109.0;7;4;2;10;3;0;0;0;0;0;0;0;36;12;606.0;2;1;0;16
Graduate;45072.0;74;144.0;2.0;99.0;7.0;2.0;30.0;5;6;1;4;8;0;0;0;0;0;0;0;66;13;284.0;3;0;0;11
Undergraduate;89694.0;22;1126.0;28.0;211.0;37.0;28.0;42.0;3;4;3;4;5;0;1;1;1;0;0;0;41;15;1472.0;2;0;3;11
Undergraduate;72025.0;46;967.0;0.0;617.0;43.0;50.0;0.0;1;4;8;13;2;0;1;1;1;0;0;1;65;7;1677.0;0;1;3;25
Undergraduate;67432.0;69;432.0;79.0;341.0;177.0;136.0;170.0;2;8;5;4;4;0;0;0;0;0;0;0;41;20;1335.0;1;1;0;17
Graduate;70545.0;29;138.0;39.0;63.0;55.0;18.0;21.0;1;4;1;7;2;0;0;0;0;0;0;0;62;9;334.0;1;1;0;12
Basic;17487.0;37;0.0;0.0;1.0;7.0;4.0;6.0;1;1;0;2;7;0;0;0;0;0;0;0;25;20;18.0;1;1;0;3
Undergraduate;62882.0;26;509.0;133.0;497.0;78.0;24.0;97.0;2;7;5;6;4;0;0;0;0;0;0;0;45;27;1338.0;1;1;0;18
Graduate;64108.0;8;948.0;10.0;86.0;13.0;21.0;21.0;4;6;9;11;5;0;0;0;0;0;0;0;61;20;1099.0;1;0;0;26
Graduate;34941.0;26;39.0;2.0;25.0;4.0;3.0;24.0;2;3;0;3;8;0;0;0;0;0;0;0;58;18;97.0;2;1;0;6
Graduate;48767.0;79;28.0;1.0;21.0;3.0;0.0;10.0;3;2;1;3;5;0;0;0;0;0;0;0;64;11;63.0;3;0;0;6
Undergraduate;38702.0;71;13.0;11.0;24.0;13.0;8.0;40.0;2;3;0;4;6;0;0;0;0;0;0;0;36;23;109.0;1;1;0;7
Undergraduate;82224.0;83;307.0;26.0;360.0;138.0;31.0;40.0;1;6;9;5;3;0;0;0;1;0;0;0;50;10;902.0;0;1;1;20
Undergraduate;83844.0;57;901.0;31.0;345.0;75.0;31.0;191.0;1;4;4;11;1;0;0;1;0;0;0;0;62;12;1574.0;0;1;1;19
Undergraduate;17003.0;37;2.0;5.0;12.0;4.0;8.0;7.0;3;2;0;4;5;0;0;0;0;0;0;0;39;15;38.0;1;1;0;6
Undergraduate;71163.0;30;283.0;17.0;372.0;138.0;106.0;44.0;1;3;8;12;1;0;0;0;0;0;0;0;19;3;960.0;0;0;0;23
Undergraduate;33697.0;34;4.0;3.0;7.0;0.0;3.0;11.0;1;1;0;2;7;1;0;0;0;0;0;0;44;14;28.0;1;0;1;3
Undergraduate;63564.0;0;769.0;80.0;252.0;15.0;34.0;65.0;1;10;10;7;6;1;0;0;0;0;0;1;60;10;1215.0;0;1;1;27
Graduate;83443.0;89;518.0;42.0;742.0;55.0;56.0;84.0;1;6;10;5;2;0;0;0;0;0;0;0;42;11;1497.0;0;1;0;21
Graduate;51518.0;92;350.0;8.0;66.0;17.0;4.0;4.0;2;3;2;10;3;0;0;0;0;0;0;0;56;21;449.0;1;1;0;15
Undergraduate;58330.0;87;445.0;53.0;213.0;104.0;98.0;151.0;1;6;4;13;4;0;0;0;0;0;0;0;39;11;1064.0;1;0;0;23
Undergraduate;80952.0;20;778.0;178.0;689.0;41.0;27.0;44.0;1;8;5;11;8;0;1;1;1;0;0;1;45;21;1757.0;0;1;3;24
Undergraduate;75507.0;56;709.0;93.0;374.0;104.0;80.0;80.0;1;8;6;6;3;0;0;0;0;0;0;0;35;10;1440.0;0;1;0;20
Undergraduate;63855.0;28;359.0;35.0;314.0;93.0;116.0;89.0;1;7;3;13;4;0;0;0;0;0;0;0;36;15;1006.0;0;1;0;23
Graduate;62220.0;55;799.0;12.0;375.0;16.0;12.0;12.0;5;7;6;5;6;0;0;0;0;0;0;1;42;25;1226.0;1;1;0;18
Undergraduate;58512.0;25;895.0;10.0;101.0;13.0;0.0;152.0;5;3;4;8;8;0;0;0;0;0;0;0;50;14;1171.0;1;1;0;15
Graduate;40662.0;0;40.0;2.0;23.0;0.0;4.0;23.0;2;2;1;3;4;0;0;0;0;0;0;0;35;21;92.0;1;1;0;6
Graduate;38829.0;86;76.0;0.0;7.0;0.0;0.0;16.0;1;3;2;2;5;0;0;0;0;0;0;0;55;6;99.0;1;1;0;7
Undergraduate;35523.0;8;11.0;5.0;22.0;12.0;5.0;11.0;2;3;0;3;7;0;0;0;0;0;0;0;33;21;66.0;1;1;0;6
Undergraduate;79146.0;33;245.0;16.0;223.0;21.0;43.0;16.0;2;8;1;8;6;0;0;0;0;0;0;0;47;7;564.0;2;0;0;17
Graduate;78285.0;13;647.0;107.0;391.0;175.0;67.0;40.0;1;6;4;10;3;0;0;0;0;0;0;0;26;13;1427.0;0;1;0;20
Graduate;31626.0;12;39.0;1.0;9.0;2.0;1.0;34.0;1;2;1;2;7;1;0;0;0;0;0;1;36;14;86.0;1;0;1;5
